Key,Value_Length,Write_Duration
lorem_0,0,0.0031728744506835938
lorem_5,39,0.0018770694732666016
lorem_10,75,0.0014908313751220703
lorem_15,107,0.0012221336364746094
lorem_20,140,0.0011897087097167969
lorem_25,184,0.0011548995971679688
lorem_30,223,0.0011188983917236328
lorem_35,289,0.0011208057403564453
lorem_40,304,0.001071929931640625
lorem_45,359,0.0010039806365966797
lorem_50,346,0.0009479522705078125
lorem_55,417,0.0009772777557373047
lorem_60,470,0.0009789466857910156
lorem_65,474,0.0009870529174804688
lorem_70,506,0.0009090900421142578
lorem_75,576,0.0009558200836181641
lorem_80,627,0.0009789466857910156
lorem_85,649,0.0009071826934814453
lorem_90,665,0.0008559226989746094
lorem_95,703,0.0008459091186523438
lorem_100,740,0.0008411407470703125
lorem_105,766,0.0008447170257568359
lorem_110,853,0.0008168220520019531
lorem_115,884,0.0008373260498046875
lorem_120,887,0.0008270740509033203
lorem_125,917,0.0008339881896972656
lorem_130,998,0.0008668899536132812
lorem_135,1048,0.0008361339569091797
lorem_140,1012,0.000843048095703125
lorem_145,1079,0.0008428096771240234
lorem_150,1133,0.0007741451263427734
lorem_155,1110,0.0007429122924804688
lorem_160,1193,0.0007679462432861328
lorem_165,1217,0.0007708072662353516
lorem_170,1247,0.0007550716400146484
lorem_175,1290,0.0007359981536865234
lorem_180,1336,0.0008077621459960938
lorem_185,1374,0.0007512569427490234
lorem_190,1412,0.0007419586181640625
lorem_195,1443,0.0007829666137695312
lorem_200,1496,0.0007519721984863281
lorem_205,1520,0.0006949901580810547
lorem_210,1571,0.0006740093231201172
lorem_215,1586,0.0006890296936035156
lorem_220,1639,0.000720977783203125
lorem_225,1668,0.0007109642028808594
lorem_230,1723,0.0007207393646240234
lorem_235,1719,0.0007090568542480469
lorem_240,1756,0.0007281303405761719
lorem_245,1839,0.0006978511810302734
lorem_250,1892,0.0006959438323974609
lorem_255,1898,0.0006861686706542969
lorem_260,1912,0.0006909370422363281
lorem_265,1949,0.0007059574127197266
lorem_270,1993,0.0007119178771972656
lorem_275,2066,0.0007319450378417969
lorem_280,2095,0.0007128715515136719
lorem_285,2104,0.0007319450378417969
lorem_290,2163,0.0006997585296630859
lorem_295,2174,0.0006928443908691406
lorem_300,2245,0.0006799697875976562
lorem_305,2260,0.0006849765777587891
lorem_310,2331,0.0007171630859375
lorem_315,2337,0.0007281303405761719
lorem_320,2360,0.0007252693176269531
lorem_325,2397,0.0007150173187255859
lorem_330,2445,0.0007569789886474609
lorem_335,2483,0.0007040500640869141
lorem_340,2533,0.0007050037384033203
lorem_345,2552,0.0006918907165527344
lorem_350,2584,0.0006849765777587891
lorem_355,2629,0.0006997585296630859
lorem_360,2667,0.0006978511810302734
lorem_365,2712,0.0007529258728027344
