File_Name,File_Size,Number_Chunks,Average_Chunk_Size,Number_Bytes,Write_Duration
2_360kb.png,361042,3,6582.0,19746,0.004336833953857422
1_24kb,24206,2,5854.5,11709,0.0037958621978759766
2_360kb,361042,3,6582.0,19746,0.003952741622924805
3_2mb,2308798,240,7989.966666666666,1917592,0.19016504287719727
4_10mb,10586026,119,7998.924369747899,951872,0.09391021728515625
5_15mb,14787751,214,7983.869158878505,1708548,0.1679699420928955
6_18mb,17937264,233,7996.8197424892705,1863259,0.18138599395751953
7_19mb,18815770,250,7979.256,1994814,0.23273801803588867
