Key,Value_Length,Read_Duration
lorem_0,0,0.002444028854370117
lorem_5,24,0.0015218257904052734
lorem_10,81,0.0012788772583007812
lorem_15,104,0.0008189678192138672
lorem_20,154,0.0008518695831298828
lorem_25,183,0.0005741119384765625
lorem_30,209,0.0006012916564941406
lorem_35,260,0.0005419254302978516
lorem_40,293,0.0006401538848876953
lorem_45,327,0.0005800724029541016
lorem_50,387,0.0005898475646972656
lorem_55,405,0.0005900859832763672
lorem_60,468,0.0005817413330078125
lorem_65,488,0.0005621910095214844
lorem_70,532,0.0005621910095214844
lorem_75,547,0.0005648136138916016
lorem_80,609,0.0005550384521484375
lorem_85,620,0.0005538463592529297
lorem_90,671,0.0005548000335693359
lorem_95,689,0.0005431175231933594
lorem_100,733,0.0004601478576660156
lorem_105,767,0.0004608631134033203
lorem_110,792,0.00047898292541503906
lorem_115,858,0.0004706382751464844
lorem_120,896,0.0004730224609375
lorem_125,906,0.00047516822814941406
lorem_130,975,0.0004699230194091797
lorem_135,1016,0.0005040168762207031
lorem_140,1046,0.000492095947265625
lorem_145,1093,0.0004899501800537109
lorem_150,1127,0.0004818439483642578
lorem_155,1149,0.0004870891571044922
lorem_160,1166,0.00047779083251953125
lorem_165,1219,0.0004830360412597656
lorem_170,1264,0.000469207763671875
lorem_175,1297,0.0004680156707763672
lorem_180,1338,0.0004661083221435547
lorem_185,1375,0.00047087669372558594
lorem_190,1406,0.00043272972106933594
lorem_195,1449,0.0004229545593261719
lorem_200,1459,0.00043392181396484375
lorem_205,1495,0.00043392181396484375
lorem_210,1544,0.0004239082336425781
lorem_215,1614,0.00042176246643066406
lorem_220,1639,0.00041866302490234375
lorem_225,1654,0.0004260540008544922
lorem_230,1723,0.00043082237243652344
lorem_235,1735,0.0004279613494873047
lorem_240,1825,0.0004279613494873047
lorem_245,1800,0.0004329681396484375
lorem_250,1855,0.00041294097900390625
lorem_255,1922,0.0004131793975830078
lorem_260,1940,2.193450927734375e-05
lorem_265,1950,0.0004210472106933594
lorem_270,2013,0.0004200935363769531
lorem_275,2048,0.00040984153747558594
lorem_280,2056,0.000415802001953125
lorem_285,2108,0.00041222572326660156
lorem_290,2138,0.00041174888610839844
lorem_295,2176,0.0004112720489501953
lorem_300,2229,0.0004100799560546875
lorem_305,2215,0.00041103363037109375
lorem_310,2308,0.00041294097900390625
lorem_315,2331,0.0003941059112548828
lorem_320,2345,0.0003712177276611328
lorem_325,2389,0.00037097930908203125
lorem_330,2417,0.0003719329833984375
lorem_335,2472,0.00037288665771484375
lorem_340,2519,0.00037407875061035156
lorem_345,2561,0.0003688335418701172
lorem_350,2607,0.0003662109375
lorem_355,2639,0.00036907196044921875
lorem_360,2662,0.00037217140197753906
lorem_365,2706,0.0003712177276611328
lorem_370,2741,0.00037026405334472656
lorem_375,2784,0.00037097930908203125
lorem_380,2825,0.00036978721618652344
lorem_385,2845,0.00036787986755371094
lorem_390,2894,0.0003731250762939453
lorem_395,2901,0.00037479400634765625
lorem_400,2962,0.0003688335418701172
lorem_405,3003,0.0003719329833984375
lorem_410,3042,0.0003762245178222656
lorem_415,3068,0.000370025634765625
lorem_420,3107,0.00036597251892089844
lorem_425,3136,0.000370025634765625
lorem_430,3186,0.00037097930908203125
lorem_435,3218,0.00035190582275390625
lorem_440,3242,0.00036215782165527344
lorem_445,3322,0.0003581047058105469
