File_Name,File_Size,Number_Chunks,Read_Duration
2_360kb,17024,3,0.005405902862548828
1_24kb,11669,2,0.003253936767578125
2_360kb,17024,3,0.0011899471282958984
3_2mb,1816172,240,0.05750894546508789
4_10mb,969865,119,0.02325725555419922
5_15mb,1548020,214,0.04928994178771973
6_18mb,1691019,233,0.05320000648498535
7_19mb,1997361,250,0.0796499252319336
